time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1705404753,845884.69,8.459958E+06,845884.69,106985.95,1.070000E+06,106985.95
1705404763,940672.39,1.786676E+07,893275.63,118998.96,2.260000E+06,112992.09
1705404773,743234.58,2.529923E+07,843263.76,93998.52,3.200000E+06,106661.13
1705404783,932923.62,3.462772E+07,865676.50,118009.45,4.380000E+06,109497.93
1705404793,964407.03,4.427501E+07,885427.59,121959.23,5.600000E+06,111990.82
1705404803,1067506.43,5.494710E+07,915764.94,135037.62,6.950000E+06,115830.80
1705404813,1004218.88,6.498931E+07,928401.00,126999.76,8.220000E+06,117426.33
1705404823,1233663.61,7.732581E+07,966557.84,156001.67,9.780000E+06,122248.13
1705404833,1146443.89,8.879004E+07,986544.58,145002.67,1.123000E+07,124776.33
1705404843,1130784.34,1.000981E+08,1000968.69,142996.86,1.266000E+07,126598.40
1705404853,1027630.01,1.103748E+08,1003392.49,129995.66,1.396000E+07,126907.25
1705404863,1067421.78,1.210487E+08,1008728.04,135004.13,1.531000E+07,127581.96
1705404873,1122915.45,1.322772E+08,1017511.14,142008.18,1.673000E+07,128691.60
1705404883,964253.69,1.419207E+08,1013706.70,121987.77,1.795000E+07,128212.71
1705404893,1209740.73,1.540174E+08,1026774.82,153008.26,1.948000E+07,129865.65
1705404903,1035657.96,1.643736E+08,1027330.00,131004.90,2.079000E+07,129936.85
1705404913,1217631.57,1.765504E+08,1038524.57,153993.87,2.233000E+07,131352.01
1705404923,537474.49,1.819253E+08,1010688.00,67998.34,2.301000E+07,127832.31
1705404933,822402.48,1.901492E+08,1000778.43,104001.27,2.405000E+07,126578.07
1705404943,1012000.52,2.002695E+08,1001339.54,127996.37,2.533000E+07,126648.98
1705404953,1114869.29,2.114183E+08,1006745.74,140998.29,2.674000E+07,127332.29
1705404963,925284.12,2.206703E+08,1003043.32,117011.45,2.791000E+07,126863.20
1705404973,727497.43,2.279456E+08,991062.52,91995.34,2.883000E+07,125347.14
1705404983,1162472.88,2.395698E+08,998204.23,147007.50,3.030000E+07,126249.61
1705404993,901388.92,2.485837E+08,994331.63,113999.93,3.144000E+07,125759.62
1705405003,782683.27,2.564111E+08,986190.72,98992.33,3.243000E+07,124730.04
1705405013,1296575.69,2.693766E+08,997686.17,164003.41,3.407000E+07,126184.57
1705405023,956626.74,2.789427E+08,996219.78,121001.55,3.528000E+07,125999.46
1705405033,1114703.79,2.900895E+08,1000305.32,141003.57,3.669000E+07,126516.83
1705405043,1012000.83,3.002099E+08,1000695.19,127995.38,3.797000E+07,126566.12
1705405053,893589.78,3.091459E+08,997240.14,112998.43,3.910000E+07,126128.45
1705405063,498177.08,3.141275E+08,981644.97,63002.01,3.973000E+07,124155.82
1705405073,585056.97,3.199782E+08,969626.85,73997.79,4.047000E+07,122635.84
1705405083,830238.46,3.282802E+08,965527.42,105005.62,4.152000E+07,122117.33
1705405093,1114947.50,3.394306E+08,969796.90,140988.21,4.293000E+07,122656.54
1705405103,695828.69,3.463886E+08,962187.04,88003.96,4.381000E+07,121694.02
1705405113,1011865.08,3.565076E+08,963529.74,127994.39,4.509000E+07,121864.30
1705405123,1083528.24,3.673420E+08,966687.31,137012.21,4.646000E+07,122262.90
1705405133,830114.78,3.756439E+08,963185.12,104989.74,4.751000E+07,121819.95
1705405143,1067308.38,3.863165E+08,965788.07,135006.73,4.886000E+07,122149.61
1705405153,814271.75,3.944592E+08,962092.58,103000.51,4.989000E+07,121682.56
1705405163,1194040.67,4.063996E+08,967615.14,150999.81,5.140000E+07,122380.59
1705405173,1193606.87,4.183356E+08,972870.74,151000.35,5.291000E+07,123046.16
1705405183,1177819.77,4.301144E+08,977528.86,148993.15,5.440000E+07,123635.89
1705405193,1178043.74,4.418939E+08,981984.39,149011.69,5.589000E+07,124199.75
1705405203,1225437.27,4.541504E+08,987277.75,154972.53,5.744000E+07,124868.84
