time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1705317147,574957.49,5.749884E+06,574957.49,114993.82,1.150000E+06,114993.82
1705317157,529846.31,1.104854E+07,552402.10,105996.14,2.210000E+06,110495.02
1705317167,354963.37,1.459793E+07,486594.20,71004.91,2.920000E+06,97332.65
1705317177,299893.29,1.759788E+07,439907.37,59979.70,3.520000E+06,87992.09
1705317187,690117.96,2.449707E+07,489934.38,138039.68,4.900000E+06,97998.59
1705317197,465115.23,2.914790E+07,485798.14,93006.40,5.830000E+06,97166.62
1705317207,504852.87,3.419682E+07,488520.42,100992.25,6.840000E+06,97713.17
1705317217,554951.37,3.974592E+07,496823.67,111008.20,7.950000E+06,99374.92
1705317227,495136.86,4.469738E+07,496636.25,98998.33,8.940000E+06,99333.08
1705317237,659972.31,5.129720E+07,512970.03,131998.06,1.026000E+07,102599.61
1705317247,685141.62,5.814882E+07,528622.37,136995.84,1.163000E+07,105726.62
1705317257,650013.40,6.464852E+07,538737.62,130008.60,1.293000E+07,107749.98
1705317267,674955.68,7.139863E+07,549216.72,134989.06,1.428000E+07,109845.45
1705317277,510002.88,7.649828E+07,546415.94,102007.62,1.530000E+07,109285.65
1705317287,664917.66,8.314799E+07,554316.65,132989.21,1.663000E+07,110866.01
1705317297,584973.57,8.899730E+07,556232.56,117008.48,1.780000E+07,111249.88
1705317307,409891.38,9.309625E+07,547624.21,81999.40,1.862000E+07,109529.26
1705317317,404949.91,9.714593E+07,539697.53,80996.30,1.943000E+07,107944.03
1705317327,480037.45,1.019462E+08,536557.63,96003.01,2.039000E+07,107315.57
1705317337,254886.20,1.044950E+08,522473.99,50999.64,2.090000E+07,104499.76
1705317347,685042.25,1.113455E+08,530215.40,136998.53,2.227000E+07,106047.33
1705317357,519864.99,1.165443E+08,529744.91,103997.48,2.331000E+07,105954.16
1705317367,490072.62,1.214452E+08,528019.99,97997.25,2.429000E+07,105608.20
1705317377,764406.77,1.290944E+08,537875.71,152897.66,2.582000E+07,107579.85
1705317387,510462.83,1.341953E+08,536780.00,102074.39,2.684000E+07,107359.79
1705317397,464842.50,1.388456E+08,534012.06,92960.90,2.777000E+07,106805.76
1705317407,610350.54,1.449467E+08,536838.28,122048.50,2.899000E+07,107370.08
1705317417,434987.24,1.492970E+08,533200.39,86991.05,2.986000E+07,106642.19
1705317427,515110.92,1.544475E+08,532576.70,103013.94,3.089000E+07,106517.09
1705317437,455191.56,1.589996E+08,529997.08,90995.67,3.180000E+07,105999.69
1705317447,394902.14,1.629484E+08,525639.46,79005.07,3.259000E+07,105128.95
1705317457,554976.30,1.684980E+08,526556.22,111001.82,3.370000E+07,105312.48
1705317467,529938.68,1.737975E+08,526658.72,105999.10,3.476000E+07,105333.28
1705317477,629966.66,1.800971E+08,529697.17,126000.85,3.602000E+07,105941.15
1705317487,509914.96,1.851962E+08,529131.97,102000.51,3.704000E+07,105828.56
1705317497,589967.62,1.910964E+08,530821.98,117990.56,3.822000E+07,106166.42
1705317507,410143.19,1.951976E+08,527560.52,82003.28,3.904000E+07,105513.39
1705317517,685031.40,2.020483E+08,531704.68,136993.64,4.041000E+07,106341.85
1705317527,370034.00,2.057483E+08,527559.61,74006.00,4.115000E+07,105512.80
1705317537,319991.95,2.089484E+08,522370.10,63995.91,4.179000E+07,104474.81
1705317547,595037.52,2.148984E+08,524142.37,119007.02,4.298000E+07,104829.23
1705317557,600050.95,2.208995E+08,525949.87,119989.31,4.418000E+07,105190.22
1705317567,399969.39,2.248990E+08,523020.24,80003.96,4.498000E+07,104604.52
