time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1705316252,369974.71,3.699844E+06,369974.71,73998.06,7.400000E+05,73998.06
1705316262,679846.43,1.049840E+07,524909.63,135998.09,2.100000E+06,104997.89
1705316272,484953.14,1.534790E+07,511591.05,97000.79,3.070000E+06,102332.24
1705316282,584916.20,2.119707E+07,529922.21,116999.80,4.240000E+06,105999.10
1705316292,494973.24,2.614708E+07,522932.15,98994.41,5.230000E+06,104598.11
1705316302,365056.85,2.979774E+07,496619.42,72998.09,5.960000E+06,99331.40
1705316312,574765.80,3.554556E+07,507783.27,114996.84,7.110000E+06,101569.34
1705316322,435141.55,3.989643E+07,498704.21,87010.87,7.980000E+06,99749.76
1705316332,409995.08,4.399677E+07,488846.83,81992.22,8.800000E+06,97776.54
1705316342,420273.35,4.819942E+07,481989.68,84001.63,9.640000E+06,96399.09
1705316352,414942.26,5.234853E+07,475894.94,83006.37,1.047000E+07,95181.66
1705316362,414933.04,5.649814E+07,470814.47,82994.29,1.130000E+07,94165.99
1705316372,355026.03,6.004852E+07,461907.45,70997.69,1.201000E+07,92383.77
1705316382,490121.02,6.494954E+07,463922.62,98003.80,1.299000E+07,92785.18
1705316392,404894.31,6.899868E+07,459987.24,80995.98,1.380000E+07,91999.20
1705316402,480130.91,7.379951E+07,461246.09,96009.70,1.476000E+07,92249.83
1705316412,304964.93,7.684936E+07,452052.52,60995.95,1.537000E+07,90411.26
1705316422,515038.04,8.199942E+07,455551.49,103006.33,1.640000E+07,91110.94
1705316432,549854.96,8.749826E+07,460515.07,109994.35,1.750000E+07,92104.85
1705316442,524833.64,9.274708E+07,463731.27,104990.25,1.855000E+07,92749.17
1705316452,524967.80,9.799600E+07,466646.86,105015.24,1.960000E+07,93333.19
1705316462,305029.42,1.010466E+08,459299.96,60994.21,2.021000E+07,91863.10
1705316472,519841.10,1.062445E+08,461931.94,104009.42,2.125000E+07,92391.15
1705316482,655116.74,1.127962E+08,469981.85,130990.63,2.256000E+07,93999.57
1705316492,544760.69,1.182437E+08,472972.95,109001.34,2.365000E+07,94599.63
1705316502,475232.42,1.229958E+08,473059.85,95004.40,2.460000E+07,94615.20

Summary:
loaded 129647797 metrics in 269.148sec with 4 workers (mean rate 481697.59 metrics/sec)
loaded 25930807 rows in 269.148sec with 4 workers (mean rate 96344.15 rows/sec)
