time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704903604,371572.86,3.715888E+06,371572.86,46997.98,4.700000E+05,46997.98
1704903614,403163.04,7.747538E+06,387367.65,50999.75,9.800000E+05,48998.83
1704903624,379550.54,1.154297E+07,384762.02,48000.92,1.460000E+06,48666.20
1704903634,339877.69,1.494179E+07,373540.92,42999.52,1.890000E+06,47249.53
1704903644,363732.15,1.857953E+07,371579.00,45994.66,2.350000E+06,46998.53
1704903654,379416.07,2.237320E+07,372885.01,48006.20,2.830000E+06,47166.45
1704903664,379478.60,2.616824E+07,373827.00,47996.77,3.310000E+06,47285.08
1704903674,340089.69,2.956890E+07,369610.15,43003.07,3.740000E+06,46749.87
1704903684,355511.80,3.312545E+07,368043.10,44981.79,4.190000E+06,46553.34
1704903694,379802.00,3.692194E+07,369218.52,48019.32,4.670000E+06,46699.88
1704903704,379564.97,4.071766E+07,370159.12,47999.20,5.150000E+06,46818.00
1704903714,331874.82,4.403704E+07,366968.21,41992.04,5.570000E+06,46415.77
1704903724,316416.22,4.720056E+07,363080.39,40008.06,5.970000E+06,45922.97
1704903734,371484.75,5.091561E+07,363680.73,46997.45,6.440000E+06,45999.72
1704903744,363623.12,5.455191E+07,363676.89,45999.10,6.900000E+06,45999.68
1704903754,308195.29,5.763534E+07,360207.76,38981.39,7.290000E+06,45560.85
1704903764,292779.50,6.056154E+07,356243.55,37020.09,7.660000E+06,45058.72
1704903774,284667.77,6.340824E+07,352267.10,35999.72,8.020000E+06,44555.44
1704903784,331946.88,6.672769E+07,351197.62,42000.24,8.440000E+06,44420.96
1704903794,340148.81,7.012937E+07,350645.15,42997.59,8.870000E+06,44349.79
1704903804,355749.83,7.368769E+07,350888.29,44989.57,9.320000E+06,44380.26
1704903814,371817.20,7.740490E+07,351839.35,47012.16,9.790000E+06,44499.86
1704903824,395176.10,8.135699E+07,353723.70,49995.90,1.029000E+07,44738.84
1704903834,332120.57,8.467772E+07,352823.70,42005.93,1.071000E+07,44624.98
1704903844,340033.69,8.807822E+07,352312.07,42998.01,1.114000E+07,44559.90
1704903854,371613.70,9.179454E+07,353054.48,46997.61,1.161000E+07,44653.66
1704903864,363758.94,9.543251E+07,353450.98,45995.23,1.207000E+07,44703.35
1704903874,308390.66,9.851596E+07,351841.93,39005.86,1.246000E+07,44499.90
1704903884,355513.30,1.020733E+08,351968.60,44971.49,1.291000E+07,44516.17
1704903894,371863.81,1.057902E+08,352631.45,47023.05,1.338000E+07,44599.70
1704903904,387489.25,1.096644E+08,353755.71,49007.72,1.387000E+07,44741.87
1704903914,363649.80,1.133011E+08,354064.92,45997.95,1.433000E+07,44781.12
1704903924,323829.76,1.165434E+08,353147.60,40949.39,1.474000E+07,44664.87
1704903934,379464.16,1.203380E+08,353921.58,48000.61,1.522000E+07,44762.97
1704903944,419404.12,1.245273E+08,355790.41,53059.30,1.575000E+07,44999.75
1704903954,379723.82,1.283240E+08,356455.12,48007.87,1.623000E+07,45083.29
1704903964,300375.29,1.313278E+08,354939.43,37999.52,1.661000E+07,44891.84
1704903974,363706.41,1.349647E+08,355170.13,46000.94,1.707000E+07,44921.02
1704903984,403062.92,1.389957E+08,356398.25,50995.98,1.758000E+07,45076.80
1704903994,363765.49,1.426330E+08,356582.41,46004.11,1.804000E+07,45099.98
1704904004,347789.48,1.461112E+08,356367.93,43995.85,1.848000E+07,45073.05
1704904014,379490.51,1.499060E+08,356918.44,48002.15,1.896000E+07,45142.79
1704904024,402883.24,1.539382E+08,357988.26,50957.66,1.947000E+07,45278.13
1704904034,395586.02,1.578906E+08,358842.02,50043.08,1.997000E+07,45386.33
1704904044,284616.51,1.607367E+08,357192.60,36000.80,2.033000E+07,45177.76
1704904054,308155.96,1.638210E+08,356125.67,38965.70,2.072000E+07,45042.60
1704904064,324311.21,1.670615E+08,355449.30,41032.53,2.113000E+07,44957.35
1704904074,371467.40,1.707773E+08,355783.11,46986.07,2.160000E+07,44999.63
1704904084,276921.62,1.735455E+08,354174.30,35013.28,2.195000E+07,44795.90
1704904094,403216.76,1.775776E+08,355155.14,51000.51,2.246000E+07,44919.99
1704904104,395268.92,1.815306E+08,355941.75,49996.03,2.296000E+07,45019.53
1704904114,387358.09,1.854046E+08,356545.98,48994.12,2.345000E+07,45095.97
1704904124,316296.98,1.885671E+08,355786.68,40006.27,2.385000E+07,44999.96
1704904134,387434.98,1.924414E+08,356372.74,49001.48,2.434000E+07,45074.06
