time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704968866,414914.91,4.149856E+06,414914.91,82985.86,8.300000E+05,82985.86
1704968876,384900.04,7.999092E+06,399908.29,76995.29,1.600000E+06,79990.74
1704968886,290019.17,1.089919E+07,363282.18,58001.83,2.180000E+06,72661.82
1704968896,364896.28,1.454817E+07,363685.69,72999.74,2.910000E+06,72746.30
1704968906,245054.25,1.699838E+07,339962.96,49006.69,3.400000E+06,67999.09
1704968916,304830.98,2.004668E+07,334107.70,61000.04,4.010000E+06,66832.59
1704968926,324915.35,2.329751E+07,332793.94,64966.60,4.660000E+06,66565.91
1704968936,315094.20,2.644809E+07,330581.85,63007.16,5.290000E+06,66121.14
1704968946,310008.62,2.954699E+07,328296.84,62023.81,5.910000E+06,65666.06
1704968956,295030.27,3.249727E+07,324970.23,59000.37,6.500000E+06,64999.50
1704968966,324881.20,3.574628E+07,324962.13,64996.00,7.150000E+06,64999.18
1704968976,345085.95,3.919692E+07,326639.00,69004.55,7.840000E+06,65332.94
1704968986,359910.24,4.279619E+07,329198.42,71996.61,8.560000E+06,65845.55
1704968996,274923.39,4.554839E+07,325317.78,54940.73,9.110000E+06,65065.86
1704969006,280286.69,4.834845E+07,322318.75,56056.06,9.670000E+06,64465.81
1704969016,309964.90,5.144783E+07,321546.71,62005.46,1.029000E+07,64312.06
1704969026,340083.23,5.484871E+07,322637.10,67999.05,1.097000E+07,64528.94
1704969036,269858.15,5.754928E+07,319702.91,53960.12,1.151000E+07,63941.38
1704969046,280260.81,6.034990E+07,317628.50,56039.83,1.207000E+07,63525.81
1704969056,274969.05,6.309955E+07,315495.57,55000.77,1.262000E+07,63099.56
1704969066,319873.23,6.629820E+07,315704.03,64001.69,1.326000E+07,63142.52
1704969076,375054.04,7.004874E+07,318401.74,75000.09,1.401000E+07,63681.50
1704969086,295102.18,7.299988E+07,317388.68,58997.56,1.460000E+07,63477.84
1704969096,269856.47,7.569851E+07,315408.14,53998.73,1.514000E+07,63082.87
1704969106,270056.89,7.839886E+07,313594.24,54004.26,1.568000E+07,62719.76
1704969116,265041.02,8.104921E+07,311726.86,53001.32,1.621000E+07,62345.98
1704969126,309905.33,8.414834E+07,311659.39,61998.42,1.683000E+07,62333.11
1704969136,279743.55,8.694718E+07,310518.99,55971.90,1.739000E+07,62105.81
1704969146,190014.50,8.884720E+07,306364.02,38002.58,1.777000E+07,61274.74
1704969156,280082.38,9.164678E+07,305488.36,56024.72,1.833000E+07,61099.82
1704969166,345019.30,9.509722E+07,306763.63,68995.22,1.902000E+07,61354.52
1704969176,139897.64,9.649609E+07,301549.47,28002.09,1.930000E+07,60312.34
1704969186,224995.84,9.874622E+07,299229.50,44996.61,1.975000E+07,59848.19
1704969196,310024.13,1.018462E+08,299546.96,62005.71,2.037000E+07,59911.64
1704969206,279776.56,1.046442E+08,298982.05,55995.63,2.093000E+07,59799.75
1704969216,235104.49,1.069951E+08,297207.78,47002.74,2.140000E+07,59444.30
