time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704966620,385003.89,3.850156E+06,385003.89,76997.66,7.700000E+05,76997.66
1704966630,284948.60,6.699768E+06,334975.90,56997.48,1.340000E+06,66997.50
1704966640,219943.84,8.899088E+06,296634.21,44002.37,1.780000E+06,59332.92
1704966650,249923.44,1.139828E+07,284956.73,50000.85,2.280000E+06,56999.95
1704966660,199943.29,1.339783E+07,267953.24,39997.62,2.680000E+06,53599.32
1704966670,164912.96,1.504689E+07,250780.65,33001.39,3.010000E+06,50166.49
1704966680,299956.76,1.804764E+07,257808.15,59976.40,3.610000E+06,51568.37
1704966690,260070.25,2.064734E+07,258090.80,52019.97,4.130000E+06,51624.80
1704966700,299872.58,2.364682E+07,262734.25,59984.91,4.730000E+06,52553.91
1704966710,310144.12,2.674763E+07,267474.22,62012.74,5.350000E+06,53499.59
1704966720,279932.80,2.954699E+07,268606.82,55999.36,5.910000E+06,53726.84
1704966730,375089.89,3.329760E+07,277479.73,75005.74,6.660000E+06,55499.95
1704966740,299809.38,3.629574E+07,279197.42,59999.00,7.260000E+06,55846.03
1704966750,240015.71,3.869588E+07,276398.75,48000.42,7.740000E+06,55285.64
1704966760,310130.69,4.179728E+07,278647.60,61998.22,8.360000E+06,55733.15
1704966770,250023.73,4.429760E+07,276858.56,49998.35,8.860000E+06,55374.72
1704966780,310101.18,4.739859E+07,278813.99,62000.39,9.480000E+06,55764.46
1704966790,284893.90,5.024753E+07,279151.76,56999.90,1.005000E+07,55833.09
1704966800,280099.72,5.304836E+07,279201.65,56003.38,1.061000E+07,55842.06
1704966810,315010.87,5.619864E+07,280992.20,62996.66,1.124000E+07,56199.80
1704966820,265084.01,5.884944E+07,280234.68,53000.72,1.177000E+07,56047.47
1704966830,200014.97,6.084952E+07,276588.47,40001.47,1.217000E+07,55318.13
1704966840,349833.80,6.434965E+07,279774.61,69964.12,1.287000E+07,55955.23
1704966850,255117.72,6.689953E+07,278747.76,51025.95,1.338000E+07,55749.95
1704966860,309884.34,6.999860E+07,279993.31,61995.35,1.400000E+07,55999.78
1704966870,335013.77,7.334846E+07,282109.30,67005.71,1.467000E+07,56423.05
1704966880,304879.45,7.639788E+07,282952.81,60987.41,1.528000E+07,56592.13
1704966890,289958.29,7.929912E+07,283203.14,57966.95,1.586000E+07,56641.26
1704966900,345277.30,8.274942E+07,285342.09,69049.46,1.655000E+07,57068.82
1704966910,289969.20,8.564939E+07,285496.34,57994.32,1.713000E+07,57099.67
1704966920,229791.92,8.794714E+07,283699.57,46003.51,1.759000E+07,56741.76
1704966930,334961.77,9.129658E+07,285301.43,67003.40,1.826000E+07,57062.42
1704966940,260010.07,9.389662E+07,284535.04,52001.21,1.878000E+07,56909.05
1704966950,220049.75,9.609728E+07,282638.28,43996.83,1.922000E+07,56529.26
1704966960,349918.77,9.959630E+07,284560.49,70003.35,1.992000E+07,56914.21
1704966970,294760.55,1.025449E+08,284843.91,58980.26,2.051000E+07,56971.62
1704966980,330168.81,1.058456E+08,286068.54,66019.84,2.117000E+07,57216.09
1704966990,314956.50,1.089951E+08,286828.73,63001.30,2.180000E+07,57368.33
1704967000,275099.56,1.117460E+08,286528.00,55001.83,2.235000E+07,57307.65
1704967010,294893.01,1.146950E+08,286737.12,58998.84,2.294000E+07,57349.93
1704967020,320032.40,1.178953E+08,287549.20,64000.64,2.358000E+07,57512.15
1704967030,325020.67,1.211454E+08,288441.36,65001.25,2.423000E+07,57690.45
1704967040,304910.29,1.241945E+08,288824.35,61000.78,2.484000E+07,57767.44
1704967050,324950.62,1.274440E+08,289645.41,64999.00,2.549000E+07,57931.79

Summary:
loaded 129647797 metrics in 447.188sec with 4 workers (mean rate 289917.57 metrics/sec)
loaded 25930807 rows in 447.188sec with 4 workers (mean rate 57986.30 rows/sec)
